Mass,ethene,ethane,ethyne
2.0,0.3537254219493195,0.707450843898639,0.0
12.0,0.07215567069479346,0.05772453655583477,0.10101793897271084
13.0,0.08695684949099475,0.09661872165666084,0.30917990930131467
14.0,0.1487701880822464,0.21252884011749484,0.007084294670583163
15.0,0.01815593133553173,0.26628699292113206,0.0
16.0,0.0,0.005862820576306703,0.0
24.0,0.27595138741238123,0.059989432046169834,0.5998943204616983
25.0,0.9764824973870062,0.4376041921708735,2.390569186944886
26.0,6.799178450881463,2.981622731434704,12.839468428775023
27.0,8.639121376269397,4.603560027797179,0.3047797791499787
28.0,17.345458672549977,17.345458672549977,0.017347193391889167
29.0,0.5779937175509084,5.408010783345892,0.0
30.0,0.03810113826130618,9.990118452114482,0.0
31.0,0.0,0.28425327156832303,0.0
