Source:,Measured, Measured, Measured, NIST_TuningCorrected
Molecules,ethyne, ethene, ethane, 1butanal
Electron Numbers,14, 16, 18, 40
ionizationEfficiencies,1.0, 1.0857142857142859, 1.1714285714285713
ionizationEfficienciesSources,MadixA, MadixA, MadixA
Molecular Mass,26.04, 28.05, 30.07, 72.11
1.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.200000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+01,2.200000000000000000e+01,1.100000000000000000e+01
2.700000000000000000e+01,2.000000000000000000e+00,6.100000000000000000e+01,3.200000000000000000e+01,1.000000000000000000e+02
2.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.100000000000000000e+01
2.900000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,2.100000000000000000e+01,5.200000000000000000e+01
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
