Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
0.0,0.0,0.0,0.0,0.0007337184856651318,0.0,0.0,1.7903104006677162,0.0
0.0,0.0,0.0,0.0,0.0,0.003159179042522544,7.46550435974704e-05,0.0,0.8424408932142096
0.0322565855052829,0.11424378214019436,0.0,0.0,0.2981360664565664,0.11116598713298873,0.003995370401755667,0.0,0.0
0.2543435934609064,0.0,0.93649321850064,0.3736935679265048,0.47079971358747685,0.016854674836646412,0.0013603615883788992,0.0,0.0
0.0,0.004393910367814157,0.0,0.0,0.0,0.4673813150123776,0.0026684966429148744,0.0,0.0
0.0,0.1922126430702411,0.0,0.0,0.0,0.0,0.004345514288415225,0.0,0.0
0.022754645588998017,0.19387259448494765,0.0,0.0,0.0,0.005651633636351373,0.0025338008436619117,0.0,0.0
0.41666840036410663,0.0,0.0,0.12691357301997938,0.0,0.0028449785992485503,1.299808160405097,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.007368552491476929,0.0,0.0
0.0,0.14952711504123528,0.0,0.0,0.0,0.0,0.013952125032189842,0.0,0.0
