Temp,m2.0,m18.0,m27.0,m28.0,m31.0,m39.0,m41.0,m44.0,m57.0,m70.0
300.3965,1.361715,0.282666,0.198244,4.631294,0.048186999999999994,0.042874520209439354,0.10927299999999998,1.778858,0.027195,0.021266
301.4013,1.314716,0.249597,0.21151600000000004,4.693194,0.07965100000000001,0.005680203505315304,0.073703,1.7526430000000002,-0.011862,0.009690999999999986
302.2625,1.3310120000000003,0.271373,0.20129799999999995,4.672803,0.045584,0.039407429557373586,0.12008399999999998,1.742053,0.025766,0.019204
303.1762,1.320415,0.253498,0.21297500000000003,4.689217,0.084071,0.004675327822403322,0.083113,1.7522770000000003,-0.013171,0.009197000000000007
304.1567,1.3664589999999999,0.25806400000000007,0.206715,4.638986000000001,0.050746,0.04689740882837329,0.11435100000000001,1.713253,0.018557,0.02265499999999999
304.8878,1.337911,0.25003000000000003,0.19283799999999998,4.671385,0.076372,0.03626752948983053,0.083506,1.7417029999999998,-0.005037,0.020512000000000002
305.83,1.3454210000000002,0.258787,0.20144999999999996,4.671901,0.056472999999999995,0.03199869090421366,0.11196299999999998,1.7353479999999997,0.021396,0.008021000000000002
306.8916,1.328109,0.278019,0.184383,4.661648,0.080075,0.06949869268717782,0.080608,1.760039,0.002422,0.025577000000000006
307.7955,1.287435,0.2606,0.21557399999999996,4.670509999999999,0.059809,0.017113884774562278,0.11275699999999997,1.729282,0.018266,0.002641000000000003
308.5778,1.298917,0.275055,0.181959,4.685370000000001,0.073568,0.05678211617878868,0.076278,1.7928460000000002,-0.003379,0.022005999999999998
