Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,Ethylene (Ethene),Ethanol,Crotyl Alcohol
0.0,0.0,0.0007011844058963374,0.0,0.0
0.0,0.0,0.0,0.0033888557213948827,0.0033851683095335755
0.047503406907575485,0.07866036428379528,0.25806785426301193,0.052670346834720584,0.0483844081493813
0.034252018511196296,0.210159640976162,0.2982935361135933,0.11760928068751873,0.1786771375690455
0.26909539243308295,0.0,0.46933527587807017,0.017766739135658058,0.06061554039342871
0.4390849647495049,0.16103461345431436,0.010591731483755976,0.15081532109493734,0.3054661652059176
0.0,0.007945070782646654,0.0,0.48603869142727557,0.11730281409983433
0.0,0.32840905001614296,0.0,0.0,0.18049681426461564
0.022013538153382084,0.32492652532051114,0.0,0.005447480255512839,0.10323724667439092
0.3899532828751661,0.0,0.0,0.002652790220890507,0.016764062271453554
0.0,0.0,0.0,0.1883955398846409,0.004690448664314409
0.0,0.0,0.0,0.0,0.0005503861671973583
0.0,0.0,0.0,0.0,0.23369534843053716
